Id,Title,Brand,Dealer,Price,ColorExterior,Type,TelephoneNumber,TelephoneNumber2,TelephoneNumber3,Dealer Ubication
912846,Mitsubishi Canter Cama 14 Pies 2022,mitsubishi,Auto Mayella,"US$ 40,900",Blanco,Camión, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1137337,Skoda Octavia Tour 2008,skoda,Carlos de los Santos,"RD$ 235,000",Dorado,Sedán,,, 809-543-0855," Santo Domingo, Distrito Nacional"
832527,Mitsubishi Canter Cama 12 Pies  2022,mitsubishi,Auto Mayella,"US$ 39,900",Blanco,Camión, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1136761,Mitsubishi L 200 2022,mitsubishi,Auto Sol Bani,"US$ 46,900",Blanco,Camioneta, 809-380-0058, 809-380-0765,," Salida a Santo Domingo, Baní, Bani"
1115031,Renault Duster Oroch 2020,renault,L & R AUTO IMPORT SRL,"US$ 24,700",Gris,Camioneta, (809) 564-5531, (809) 763-5120  ABEL, 809-747-2377 Massiel," Santo Domingo, Distrito Nacional"
1115028,Renault Duster 2020,renault,L & R AUTO IMPORT SRL,"US$ 24,700",Blanco,Jeepeta, (809) 564-5531, (809) 763-5120  ABEL, 809-747-2377 Massiel," Santo Domingo, Distrito Nacional"
1045354,Skoda Kodiaq Style 2019,skoda,Charlies Motors,"US$ 43,900",Negro,Jeepeta, (809) 226-8364," usa-718-734-1452-sin cargo,", Charlies Hernández 809-430-3325 /........Omar 809-315-0414//Nelson 849-639-5150///Yoedy   809-984-7544," Santiago, Santiago"
1137420,Mitsubishi Fuso Canter 2022,mitsubishi,Vegamovil La Vega,"US$ 47,500",Blanco,Camión, 809-242-8208,,, La Vega
1115042,Renault Kangoo 2020,renault,L & R AUTO IMPORT SRL,"US$ 22,700",Blanco,Furgoneta, (809) 564-5531, (809) 763-5120  ABEL, 809-747-2377 Massiel," Santo Domingo, Distrito Nacional"
1115047,Renault Dokker 2020,renault,L & R AUTO IMPORT SRL,"US$ 17,700",Blanco,Furgoneta, (809) 564-5531, (809) 763-5120  ABEL, 809-747-2377 Massiel," Santo Domingo, Distrito Nacional"
1115058,Renault Duster 2020,renault,Quisqueya Motors,"US$ 24,700",Blanco,Jeepeta, (809) 564-5531, (809) 763-5120 ABEL, 809-747-2377 Massiel, Santo Domingo Oeste
1115063,Renault Duster Oroch 2020,renault,Quisqueya Motors,"US$ 24,700",Gris,Camioneta, (809) 564-5531, (809) 763-5120 ABEL, 809-747-2377 Massiel, Santo Domingo Oeste
1115065,Renault Kangoo 2020,renault,Quisqueya Motors,"US$ 22,700",Blanco,Furgoneta, (809) 564-5531, (809) 763-5120 ABEL, 809-747-2377 Massiel, Santo Domingo Oeste
1115088,Renault Dokker 2020,renault,Quisqueya Motors,"US$ 17,700",Blanco,Furgoneta, (809) 564-5531, (809) 763-5120 ABEL, 809-747-2377 Massiel, Santo Domingo Oeste
1128080,Renault Kangoo 2020,renault,Charlies Motors,"US$ 22,900",Blanco,Furgoneta, (809) 226-8364," usa-718-734-1452-sin cargo,", Charlies Hernández 809-430-3325 /........Omar 809-315-0414//Nelson 849-639-5150///Yoedy   809-984-7544," Santiago, Santiago"
1128074,Renault Duster 2020,renault,Charlies Motors,"US$ 26,900",Azul,Jeepeta, (809) 226-8364," usa-718-734-1452-sin cargo,", Charlies Hernández 809-430-3325 /........Omar 809-315-0414//Nelson 849-639-5150///Yoedy   809-984-7544," Santiago, Santiago"
1135712,Changan CS15 Luxury 2022,changan,Vegamovil La Vega,"US$ 19,900",Negro,Jeepeta, 809-242-8208,,, La Vega
1098929,Changan CS15 Luxury 2022,changan,Vegamovil La Vega,"US$ 19,900",Blanco,Jeepeta, 809-242-8208,,, La Vega
1082037,Nissan Frontier Pro-4X 2022,nissan,Blady Beato Autopista Duarte,"US$ 51,900",Plata,Camioneta, Edison Gomez 829-470-9833*LUISA MARTINEZ 829-755-9064*Ayalivi Suazo 829-755-9007**Elvin Fernandez 829-213-8824***,,," Caretera Santiago, La vega, La Vega, La Vega"
1090643,Nissan Frontier XE PLUS 2022,nissan,Blady Beato Autopista Duarte,"US$ 47,900",Blanco,Camioneta, Edison Gomez 829-470-9833*LUISA MARTINEZ 829-755-9064*Ayalivi Suazo 829-755-9007**Elvin Fernandez 829-213-8824***,,," Caretera Santiago, La vega, La Vega, La Vega"
994739,Nissan Frontier Pro-4X 2022,nissan,Blady Beato San Francisco De Macoris,"US$ 51,900",Gris,Camioneta, LUIS FERNANDEZ 829-470-9830**Miguel Lopez 809-722-1281*****DISPONIBILIDAD DE WHATSAPP 24/7 PARA ,, 829-470-9830/809-722-1281," San Francisco de Macoris, Duarte (San Francisco de Macoris)"
1002303,Nissan Frontier Pro-4X 2022,nissan,Blady Beato Autopista Duarte,"US$ 51,900",Rojo,Camioneta, Edison Gomez 829-470-9833*LUISA MARTINEZ 829-755-9064*Ayalivi Suazo 829-755-9007**Elvin Fernandez 829-213-8824***,,," Caretera Santiago, La vega, La Vega, La Vega"
1010886,Nissan Frontier XE PLUS 2022,nissan,Blady Beato Autopista Duarte,"US$ 47,900",Gris,Camioneta, Edison Gomez 829-470-9833*LUISA MARTINEZ 829-755-9064*Ayalivi Suazo 829-755-9007**Elvin Fernandez 829-213-8824***,,," Caretera Santiago, La vega, La Vega, La Vega"
1102744,Mitsubishi L 200 2021,mitsubishi,Auto Mayella,"US$ 33,000",Blanco,Camioneta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1093704,Mitsubishi L 200 Sportero 2021,mitsubishi,Auto Mayella,"US$ 44,300",Rojo,Camioneta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1075812,Mitsubishi Outlander 2021,mitsubishi,Hino Autos,"US$ 37,000",Negro,Jeepeta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1092295,Mitsubishi ASX 2021,mitsubishi,Hino Autos,"US$ 32,800",Azul,Jeepeta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1092275,Mitsubishi Eclipse 2021,mitsubishi,Hino Autos,"US$ 37,000",Blanco,Convertible, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1056055,Mitsubishi ASX 2021,mitsubishi,Hino Autos,"US$ 32,800",Gris,Jeepeta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1092267,Mitsubishi Eclipse 2021,mitsubishi,Hino Autos,"US$ 37,000",Gris,Convertible, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1100060,Mitsubishi L 200 2021,mitsubishi,Hino Autos,"US$ 33,000",Blanco,Camioneta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1050256,Mitsubishi Xpande 2021,mitsubishi,CiberDealer,"US$ 29,000",Blanco,Jeepeta, 809-221-6663,  809-702-3598 Angel Urbae, Angel Urbae 809-702-3598 / Gisell Mendoza 829-421-8342 / LEONEL ACOSTA 829-421-8334 ," Gazcue, Santo Domingo D.N, Distrito Nacional"
1028943,Mitsubishi Outlander 2021,mitsubishi,CiberDealer,"US$ 36,000",Negro,Jeepeta, 809-221-6663,  809-702-3598 Angel Urbae, Angel Urbae 809-702-3598 / Gisell Mendoza 829-421-8342 / LEONEL ACOSTA 829-421-8334 ," Gazcue, Santo Domingo D.N, Distrito Nacional"
1121161,Mitsubishi Canter Chassis 14 pies 2021,mitsubishi,Hino Autos,"US$ 53,000",Blanco,Camión, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1100056,Mitsubishi L 200 2021,mitsubishi,Hino Autos,"US$ 37,000",Blanco,Camioneta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
895531,Mitsubishi Rosa 2021,mitsubishi,Hino Autos,"US$ 78,000",Blanco,Autobús, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1110482,Mitsubishi L 200 2021,mitsubishi,Hino Autos,"US$ 42,500",Blanco,Camioneta, 809-732-0494, 829-421-5210 / 829-421-5224, 829-421-5215 / 829-883-5149," Arroyo Hondo, Santo Domingo D.N, Distrito Nacional"
1009647,Mitsubishi L 200 2021,mitsubishi,Espaillat Motors Punta Cana,"US$ 42,900",Blanco,Camioneta, 809-933-2510, Evan guzman 809-966-4882/Homero reynoso 809-883-8392, Pedro Troncoso 809-935-8565/ Carlos guzman 809-315-9646," Punta Cana, Bavaro, Higuey - La Altagracia"
1068137,Nissan Frontier LE 2022,nissan,Blady Beato San Francisco De Macoris,"US$ 50,900",Rojo,Camioneta, LUIS FERNANDEZ 829-470-9830**Miguel Lopez 809-722-1281*****DISPONIBILIDAD DE WHATSAPP 24/7 PARA ,, 829-470-9830/809-722-1281," San Francisco de Macoris, Duarte (San Francisco de Macoris)"
1131163,Nissan Frontier XE 2022,nissan,El Yaque Motors S.A,"US$ 44,900",Gris oscuro,Camioneta, (809) 582-4724 /(809)979-8253, (809) 583-4724 / (809)979-8253, +1809-979-8253(whatsapp)," Centro, Santiago, Santiago"
1015755,Nissan Frontier Pro-4X 2022,nissan,Blady Beato Autopista Duarte,"US$ 51,900",Blanco,Camioneta, Edison Gomez 829-470-9833*LUISA MARTINEZ 829-755-9064*Ayalivi Suazo 829-755-9007**Elvin Fernandez 829-213-8824***,,," Caretera Santiago, La vega, La Vega, La Vega"
1135720,Nissan Frontier LE 2022,nissan,FAI Autos,"US$ 50,900",Gris,Camioneta, 809-788-4466 ,,, Santo Domingo Este
1135724,Nissan Frontier XE 2022,nissan,FAI Autos,"US$ 44,900",Blanco,Camioneta, 809-788-4466 ,,, Santo Domingo Este
1135726,Nissan Frontier XE 2022,nissan,FAI Autos,"US$ 44,900",Negro,Camioneta, 809-788-4466 ,,, Santo Domingo Este
1074064,Nissan Frontier Pro-4X 2022,nissan,Blady Beato San Francisco De Macoris,"US$ 51,900",Blanco,Camioneta, LUIS FERNANDEZ 829-470-9830**Miguel Lopez 809-722-1281*****DISPONIBILIDAD DE WHATSAPP 24/7 PARA ,, 829-470-9830/809-722-1281," San Francisco de Macoris, Duarte (San Francisco de Macoris)"
1120868,Mitsubishi Xpande 2021,mitsubishi,Auto Mayella,"US$ 29,500",Blanco perla,Jeepeta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1030264,Mitsubishi L 200 2021,mitsubishi,Espaillat Motors Punta Cana,"US$ 44,500",Blanco,Camioneta, 809-933-2510, Evan guzman 809-966-4882/Homero reynoso 809-883-8392, Pedro Troncoso 809-935-8565/ Carlos guzman 809-315-9646," Punta Cana, Bavaro, Higuey - La Altagracia"
1118149,Mitsubishi Eclipse Cross 2021,mitsubishi,Auto Mayella,"US$ 37,900",Gris Plata,Jeepeta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1027421,Mitsubishi L 200 Sportero 2021,mitsubishi,Blady Beato San Francisco De Macoris,"US$ 44,900",Plata,Camioneta, LUIS FERNANDEZ 829-470-9830**Miguel Lopez 809-722-1281*****DISPONIBILIDAD DE WHATSAPP 24/7 PARA ,, 829-470-9830/809-722-1281," San Francisco de Macoris, Duarte (San Francisco de Macoris)"
1039288,Mitsubishi Canter Cama 12 Pies  2021,mitsubishi,Espaillat Motors Punta Cana,"US$ 36,900",Blanco,Camión, 809-933-2510, Evan guzman 809-966-4882/Homero reynoso 809-883-8392, Pedro Troncoso 809-935-8565/ Carlos guzman 809-315-9646," Punta Cana, Bavaro, Higuey - La Altagracia"
1068650,Mitsubishi L 200 Sportero 2021,mitsubishi,Auto Mayella,"US$ 44,300",Azul,Camioneta, 809-573-3955 ext:242/248              , 829-209-6200 NELSON G / JUAN J.829-343-9908//849-879-1803 ARIDIO REYNOSO,  829-785-9418 Willy beato /Juan angel. 829-671-5253/829-337-4541 Jose F ," Caretera Santiago, La vega, La Vega, La Vega"
1027716,Mitsubishi Canter Volteo 2021,mitsubishi,Espaillat Motors Punta Cana,"US$ 45,000",Blanco,Camión, 809-933-2510, Evan guzman 809-966-4882/Homero reynoso 809-883-8392, Pedro Troncoso 809-935-8565/ Carlos guzman 809-315-9646," Punta Cana, Bavaro, Higuey - La Altagracia"
1042360,Mitsubishi L 200 Sportero 2021,mitsubishi,Espaillat Motors Punta Cana,"US$ 44,500",Gris oscuro,Camioneta, 809-933-2510, Evan guzman 809-966-4882/Homero reynoso 809-883-8392, Pedro Troncoso 809-935-8565/ Carlos guzman 809-315-9646," Punta Cana, Bavaro, Higuey - La Altagracia"
1093659,Mitsubishi L 200 Sportero 2021,mitsubishi,Anselmo Guzman Auto Import,"US$ 44,500",Rojo,Camioneta, 809-368-5838 / 809-381-1753 / 809-683-2662,, 829-917-6000 Sr.Luis Saldivar," Santo Domingo, Distrito Nacional"
1049294,Mitsubishi Eclipse 2021,mitsubishi,CiberDealer,"US$ 35,900",Blanco,Convertible, 809-221-6663,  809-702-3598 Angel Urbae, Angel Urbae 809-702-3598 / Gisell Mendoza 829-421-8342 / LEONEL ACOSTA 829-421-8334 ," Gazcue, Santo Domingo D.N, Distrito Nacional"
1141014,Mitsubishi L 200 Sportero 2021,mitsubishi,Auto Americana,"US$ 41,900",Naranja,Camioneta, 809-246-9891, 809-224-8654  ARIS UBIERA, 829-714-7985 CARLOS ASENCIO," Villa Velasquez, San Pedro Macoris, San Pedro de Macoris"
1108821,Mitsubishi Outlander 2021,mitsubishi,Vegamovil Punta Cana ,"US$ 36,000",Gris,Jeepeta, 809-242-8208 WhatsApp,,," Punta Cana, Bavaro, Higuey - La Altagracia"
1106852,Mitsubishi Xpande 2021,mitsubishi,Anselmo Guzman Auto Import,"US$ 29,000",Gris,Jeepeta, 809-368-5838 / 809-381-1753 / 809-683-2662,, 829-917-6000 Sr.Luis Saldivar," Santo Domingo, Distrito Nacional"
1025479,Mitsubishi L 200 2021,mitsubishi,CiberDealer,"US$ 32,900",Blanco,Camioneta, 809-221-6663,  809-702-3598 Angel Urbae, Angel Urbae 809-702-3598 / Gisell Mendoza 829-421-8342 / LEONEL ACOSTA 829-421-8334 ," Gazcue, Santo Domingo D.N, Distrito Nacional"
1060648,Mitsubishi ASX 2021,mitsubishi,CiberDealer,"US$ 31,800",Blanco,Jeepeta, 809-221-6663,  809-702-3598 Angel Urbae, Angel Urbae 809-702-3598 / Gisell Mendoza 829-421-8342 / LEONEL ACOSTA 829-421-8334 ," Gazcue, Santo Domingo D.N, Distrito Nacional"
1140333,Jeep Gladiator 2021,jeep,Auto Spot,"US$ 96,000",Negro,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
989523,Jeep Wrangler Unlimited Rubicon 2021,jeep,Auto Spot,"US$ 80,000",Blanco,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1023169,Jeep Gladiator 2021,jeep,Auto Spot,"US$ 96,000",Rojo,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
976597,Jeep Wrangler Unlimited Rubicon 2021,jeep,Auto Spot,"US$ 80,000",Gris,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
959489,Jeep Wrangler Unlimited Rubicon 2021,jeep,Auto Spot,"US$ 80,000",Blanco,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1005271,Jeep Wrangler Unlimited Rubicon 2021,jeep,Auto Spot,"US$ 80,000",Verde,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1005274,Jeep Wrangler Unlimited Rubicon 2021,jeep,Auto Spot,"US$ 80,000",Gris oscuro,Jeep, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1109908,Mitsubishi L 200 Sportero 2021,mitsubishi,Espaillat Motors,"US$ 44,500",Azul,Camioneta, 809-578-0162 whatsaap, 809-581-0090, 809-654-8718," Estancia Nueva, Moca, Espaillat"
1139231,Mitsubishi L 200 Sportero 2021,mitsubishi,Auto Haus,"US$ 46,900",Blanco,Camioneta, 809-334-4111, 8492506617 (Melvin Diaz), 8293451839 (Freddy Ogando)," Naco, Santo Domingo D.N, Distrito Nacional"
1106824,Mitsubishi Outlander 2021,mitsubishi,Vegamovil La Vega,"US$ 36,000",Gris,Jeepeta, 809-242-8208,,, La Vega
1094550,Mitsubishi L 200 2021,mitsubishi,Anselmo Guzman Auto Import,"US$ 44,500",Blanco,Camioneta, 809-368-5838 / 809-381-1753 / 809-683-2662,, 829-917-6000 Sr.Luis Saldivar," Santo Domingo, Distrito Nacional"
1118617,Mitsubishi Xpande 2021,mitsubishi,Charlies Motors,"US$ 29,900",Negro,Jeepeta, (809) 226-8364," usa-718-734-1452-sin cargo,", Charlies Hernández 809-430-3325 /........Omar 809-315-0414//Nelson 849-639-5150///Yoedy   809-984-7544," Santiago, Santiago"
1118611,Mitsubishi Eclipse Cross 2021,mitsubishi,Charlies Motors,"US$ 36,900",Gris Plata,Jeepeta, (809) 226-8364," usa-718-734-1452-sin cargo,", Charlies Hernández 809-430-3325 /........Omar 809-315-0414//Nelson 849-639-5150///Yoedy   809-984-7544," Santiago, Santiago"
1108035,Mitsubishi ASX 2021,mitsubishi,Vegamovil La Vega,"US$ 30,900",Negro,Jeepeta, 809-242-8208,,, La Vega
1059604,Mitsubishi Eclipse 2021,mitsubishi,Auto Spot,"US$ 36,000",Azul,Convertible, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1093822,Mitsubishi L 200 2021,mitsubishi,Auto Spot,"US$ 33,000",Blanco,Camioneta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1106830,Mitsubishi Xpande 2021,mitsubishi,Vegamovil La Vega,"US$ 29,000",Gris oscuro,Jeepeta, 809-242-8208,,, La Vega
1106821,Mitsubishi L 200 2021,mitsubishi,Vegamovil La Vega,"US$ 37,000",Blanco,Camioneta, 809-242-8208,,, La Vega
1056008,Mitsubishi Outlander 2021,mitsubishi,Auto Spot,"US$ 36,000",Blanco,Jeepeta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1093827,Mitsubishi L 200 2021,mitsubishi,Auto Spot,"US$ 37,000",Blanco,Camioneta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1106854,Mitsubishi Outlander 2021,mitsubishi,Anselmo Guzman Auto Import,"US$ 36,000",Rojo,Jeepeta, 809-368-5838 / 809-381-1753 / 809-683-2662,, 829-917-6000 Sr.Luis Saldivar," Santo Domingo, Distrito Nacional"
1106818,Mitsubishi L 200 2021,mitsubishi,Vegamovil La Vega,"US$ 33,000",Blanco,Camioneta, 809-242-8208,,, La Vega
1010676,Brilliance V3 2021,brilliance,Auto Spot,"US$ 19,900",Gris Plata,Jeepeta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1114954,Brilliance V3 2021,brilliance,Auto Spot,"US$ 19,900",Blanco,Jeepeta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1097100,BYD Yuan ev 300 2021,byd,Auto Spot,"US$ 36,900",Rojo,Jeepeta, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1133489,Citroen Berlingo 2021,citroen,Auto Spot,"US$ 25,900",Gris oscuro,MiniVán, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1122668,Citroen C3 2021,citroen,Auto Spot,"US$ 22,999",Gris,Hatchback, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
1010516,Fiat 500 POP 2021,fiat,Auto Spot,"US$ 24,900",Negro,Coupé, 809-255-8888,, Amin 809-868-5120 | Carlos 829-585-5885 | Jose 829-912-7171 | Danilo 809-919-1005," Bella Vista, Santo Domingo D.N, Distrito Nacional"
